"","model","scenario","ensemble","year","variable","value","ecs","id"
"122","ACCESS-CM2","ssp126","r1i1p1f1",1890,"sst",0.0250441323529424,"4.7","very likely"
"123","ACCESS-CM2","ssp126","r1i1p1f1",1890,"land_tas",-0.161559411764756,"4.7","very likely"
"124","ACCESS-CM2","ssp126","r1i1p1f1",1891,"global_tas",-0.0895196368683173,"4.7","very likely"
"125","ACCESS-CM2","ssp126","r1i1p1f1",1891,"sst",-0.021969700980392,"4.7","very likely"
"126","ACCESS-CM2","ssp126","r1i1p1f1",1891,"land_tas",-0.155619411764746,"4.7","very likely"
"127","ACCESS-CM2","ssp126","r1i1p1f1",1892,"global_tas",-0.247403512736071,"4.7","very likely"
"128","ACCESS-CM2","ssp126","r1i1p1f1",1892,"sst",-0.184090867647057,"4.7","very likely"
"129","ACCESS-CM2","ssp126","r1i1p1f1",1892,"land_tas",-0.330209411764713,"4.7","very likely"
"130","ACCESS-CM2","ssp126","r1i1p1f1",1893,"global_tas",-0.0770946403862922,"4.7","very likely"
"131","ACCESS-CM2","ssp126","r1i1p1f1",1893,"sst",-0.076737450980392,"4.7","very likely"
"132","ACCESS-CM2","ssp126","r1i1p1f1",1893,"land_tas",-0.0934894117647218,"4.7","very likely"
"133","ACCESS-CM2","ssp126","r1i1p1f1",1894,"global_tas",-0.00358917332908959,"4.7","very likely"
"134","ACCESS-CM2","ssp126","r1i1p1f1",1894,"sst",-0.039669534313724,"4.7","very likely"
"135","ACCESS-CM2","ssp126","r1i1p1f1",1894,"land_tas",0.0718405882352613,"4.7","very likely"
"136","ACCESS-CM2","ssp126","r1i1p1f1",1895,"global_tas",0.0166767565822852,"4.7","very likely"
"137","ACCESS-CM2","ssp126","r1i1p1f1",1895,"sst",-0.038650534313724,"4.7","very likely"
"138","ACCESS-CM2","ssp126","r1i1p1f1",1895,"land_tas",-0.0438594117647426,"4.7","very likely"
"139","ACCESS-CM2","ssp126","r1i1p1f1",1896,"global_tas",0.0635924736061497,"4.7","very likely"
"140","ACCESS-CM2","ssp126","r1i1p1f1",1896,"sst",0.0548079656862727,"4.7","very likely"
"141","ACCESS-CM2","ssp126","r1i1p1f1",1896,"land_tas",0.0129605882352735,"4.7","very likely"
"142","ACCESS-CM2","ssp126","r1i1p1f1",1897,"global_tas",0.11967561647856,"4.7","very likely"
"143","ACCESS-CM2","ssp126","r1i1p1f1",1897,"sst",0.114271465686276,"4.7","very likely"
"144","ACCESS-CM2","ssp126","r1i1p1f1",1897,"land_tas",0.0556205882352856,"4.7","very likely"
"145","ACCESS-CM2","ssp126","r1i1p1f1",1898,"global_tas",0.175997307245325,"4.7","very likely"
"146","ACCESS-CM2","ssp126","r1i1p1f1",1898,"sst",0.101883382352941,"4.7","very likely"
"147","ACCESS-CM2","ssp126","r1i1p1f1",1898,"land_tas",0.271560588235275,"4.7","very likely"
"148","ACCESS-CM2","ssp126","r1i1p1f1",1899,"global_tas",0.111890582192643,"4.7","very likely"
"149","ACCESS-CM2","ssp126","r1i1p1f1",1899,"sst",0.0701770490196091,"4.7","very likely"
"150","ACCESS-CM2","ssp126","r1i1p1f1",1899,"land_tas",0.151480588235245,"4.7","very likely"
"151","ACCESS-CM2","ssp126","r1i1p1f1",1900,"global_tas",0.115043557676813,"4.7","very likely"
"152","ACCESS-CM2","ssp126","r1i1p1f1",1900,"sst",0.0740629656862738,"4.7","very likely"
"153","ACCESS-CM2","ssp126","r1i1p1f1",1900,"land_tas",0.0320005882352916,"4.7","very likely"
"154","ACCESS-CM2","ssp126","r1i1p1f1",1901,"global_tas",0.0613093981896782,"4.7","very likely"
"155","ACCESS-CM2","ssp126","r1i1p1f1",1901,"sst",0.0299562156862729,"4.7","very likely"
"156","ACCESS-CM2","ssp126","r1i1p1f1",1901,"land_tas",0.0868705882352856,"4.7","very likely"
"157","ACCESS-CM2","ssp126","r1i1p1f1",1902,"global_tas",0.0894552659589181,"4.7","very likely"
"158","ACCESS-CM2","ssp126","r1i1p1f1",1902,"sst",0.0773322990196094,"4.7","very likely"
"159","ACCESS-CM2","ssp126","r1i1p1f1",1902,"land_tas",0.00154058823528658,"4.7","very likely"
"160","ACCESS-CM2","ssp126","r1i1p1f1",1903,"global_tas",-0.107830234475614,"4.7","very likely"
"161","ACCESS-CM2","ssp126","r1i1p1f1",1903,"sst",-0.017333867647061,"4.7","very likely"
"162","ACCESS-CM2","ssp126","r1i1p1f1",1903,"land_tas",-0.268859411764709,"4.7","very likely"
"163","ACCESS-CM2","ssp126","r1i1p1f1",1904,"global_tas",-0.101560073387873,"4.7","very likely"
"164","ACCESS-CM2","ssp126","r1i1p1f1",1904,"sst",-0.015672450980393,"4.7","very likely"
"165","ACCESS-CM2","ssp126","r1i1p1f1",1904,"land_tas",-0.159859411764728,"4.7","very likely"
"166","ACCESS-CM2","ssp126","r1i1p1f1",1905,"global_tas",-0.0683439465018978,"4.7","very likely"
"167","ACCESS-CM2","ssp126","r1i1p1f1",1905,"sst",0.00659321568627307,"4.7","very likely"
"168","ACCESS-CM2","ssp126","r1i1p1f1",1905,"land_tas",-0.0661594117647155,"4.7","very likely"
"169","ACCESS-CM2","ssp126","r1i1p1f1",1906,"global_tas",0.0150358555874845,"4.7","very likely"
